timestamp,power_draw_W
2025-10-14T01:30:48.671611+00:00,2.66
2025-10-14T01:30:49.732624+00:00,2.79
2025-10-14T01:30:50.808783+00:00,2.61
2025-10-14T01:30:51.860073+00:00,2.59
2025-10-14T01:30:52.914661+00:00,3.00
2025-10-14T01:30:53.969824+00:00,2.64
2025-10-14T01:30:55.026975+00:00,3.42
2025-10-14T01:30:56.090095+00:00,2.65
2025-10-14T01:30:57.139523+00:00,2.93
2025-10-14T01:30:58.191602+00:00,2.66
2025-10-14T01:30:59.242997+00:00,2.82
2025-10-14T01:31:00.297617+00:00,2.70
2025-10-14T01:31:01.354222+00:00,2.87
2025-10-14T01:31:02.419287+00:00,2.68
2025-10-14T01:31:03.483245+00:00,2.62
2025-10-14T01:31:04.541849+00:00,2.57
2025-10-14T01:31:05.589535+00:00,2.63
2025-10-14T01:31:06.637642+00:00,3.02
2025-10-14T01:31:07.702346+00:00,2.62
2025-10-14T01:31:08.755012+00:00,2.74
2025-10-14T01:31:09.812351+00:00,2.61
2025-10-14T01:31:10.866400+00:00,2.79
2025-10-14T01:31:11.919820+00:00,2.66
2025-10-14T01:31:12.981423+00:00,2.74
2025-10-14T01:31:14.040570+00:00,2.71
2025-10-14T01:31:15.097808+00:00,3.14
2025-10-14T01:31:16.157540+00:00,2.81
2025-10-14T01:31:17.222935+00:00,2.64
2025-10-14T01:31:18.282387+00:00,2.83
2025-10-14T01:31:19.344385+00:00,2.64
2025-10-14T01:31:20.408590+00:00,2.70
2025-10-14T01:31:21.461652+00:00,2.81
2025-10-14T01:31:22.525446+00:00,2.56
2025-10-14T01:31:23.587030+00:00,2.72
2025-10-14T01:31:24.646390+00:00,2.60
2025-10-14T01:31:25.700845+00:00,2.68
2025-10-14T01:31:26.760880+00:00,2.67
2025-10-14T01:31:27.819048+00:00,2.60
2025-10-14T01:31:28.875914+00:00,2.75
2025-10-14T01:31:29.941504+00:00,2.60
2025-10-14T01:31:30.988120+00:00,2.86
2025-10-14T01:31:32.048226+00:00,2.86
2025-10-14T01:31:33.095730+00:00,2.76
2025-10-14T01:31:34.153410+00:00,2.86
2025-10-14T01:31:35.229613+00:00,2.98
2025-10-14T01:31:36.290147+00:00,2.79
2025-10-14T01:31:37.343846+00:00,2.67
2025-10-14T01:31:38.407359+00:00,2.79
2025-10-14T01:31:39.473828+00:00,2.74
2025-10-14T01:31:40.529752+00:00,2.67
2025-10-14T01:31:41.582291+00:00,2.83
2025-10-14T01:31:42.642562+00:00,2.63
2025-10-14T01:31:43.712582+00:00,2.84
2025-10-14T01:31:44.771305+00:00,2.64
2025-10-14T01:31:45.825827+00:00,2.62
2025-10-14T01:31:46.877912+00:00,2.67
2025-10-14T01:31:47.935406+00:00,2.65
2025-10-14T01:31:49.000304+00:00,2.87
2025-10-14T01:31:50.058489+00:00,3.01
2025-10-14T01:31:51.122598+00:00,2.76
2025-10-14T01:31:52.176934+00:00,2.65
2025-10-14T01:31:53.227540+00:00,2.73
2025-10-14T01:31:54.292782+00:00,2.64
2025-10-14T01:31:55.355795+00:00,2.61
2025-10-14T01:31:56.418983+00:00,2.80
2025-10-14T01:31:57.481328+00:00,2.62
2025-10-14T01:31:58.543352+00:00,2.59
2025-10-14T01:31:59.600824+00:00,2.59
2025-10-14T01:32:00.655142+00:00,2.65
2025-10-14T01:32:01.708614+00:00,2.77
2025-10-14T01:32:02.767376+00:00,2.62
2025-10-14T01:32:03.831688+00:00,2.76
2025-10-14T01:32:04.892930+00:00,2.55
2025-10-14T01:32:05.941865+00:00,2.60
2025-10-14T01:32:07.001389+00:00,2.53
2025-10-14T01:32:08.060950+00:00,2.52
2025-10-14T01:32:09.121433+00:00,2.77
2025-10-14T01:32:10.178189+00:00,3.02
2025-10-14T01:32:11.227220+00:00,2.98
2025-10-14T01:32:12.286169+00:00,2.58
2025-10-14T01:32:13.350460+00:00,2.70
2025-10-14T01:32:14.405984+00:00,2.54
2025-10-14T01:32:15.466105+00:00,2.53
2025-10-14T01:32:16.525326+00:00,2.51
2025-10-14T01:32:17.576162+00:00,2.69
2025-10-14T01:32:18.644289+00:00,2.76
2025-10-14T01:32:19.704501+00:00,2.57
2025-10-14T01:32:20.761352+00:00,2.61
2025-10-14T01:32:21.798981+00:00,2.54
2025-10-14T01:32:22.866306+00:00,2.63
2025-10-14T01:32:23.925748+00:00,2.58
2025-10-14T01:32:24.983836+00:00,2.55
2025-10-14T01:32:26.045062+00:00,2.81
2025-10-14T01:32:27.104776+00:00,2.65
2025-10-14T01:32:28.151883+00:00,2.81
2025-10-14T01:32:29.209114+00:00,2.57
2025-10-14T01:32:30.265321+00:00,2.72
2025-10-14T01:32:31.321973+00:00,2.56
2025-10-14T01:32:32.379447+00:00,2.56
2025-10-14T01:32:33.430507+00:00,2.52
2025-10-14T01:32:34.486572+00:00,2.67
2025-10-14T01:32:35.540579+00:00,2.54
2025-10-14T01:32:36.594336+00:00,2.65
2025-10-14T01:32:37.654761+00:00,2.80
2025-10-14T01:32:38.722737+00:00,2.62
2025-10-14T01:32:39.777727+00:00,2.70
2025-10-14T01:32:40.833457+00:00,2.60
2025-10-14T01:32:41.890295+00:00,2.61
2025-10-14T01:32:42.933887+00:00,2.62
2025-10-14T01:32:43.988500+00:00,2.63
2025-10-14T01:32:45.047697+00:00,2.73
2025-10-14T01:32:46.094439+00:00,2.89
2025-10-14T01:32:47.154105+00:00,2.67
2025-10-14T01:32:48.224629+00:00,2.68
2025-10-14T01:32:49.281874+00:00,2.80
2025-10-14T01:32:50.331326+00:00,2.62
2025-10-14T01:32:51.390987+00:00,2.70
2025-10-14T01:32:52.448512+00:00,2.62
2025-10-14T01:32:53.509093+00:00,2.60
2025-10-14T01:32:54.562107+00:00,2.61
2025-10-14T01:32:55.618576+00:00,2.82
2025-10-14T01:32:56.678208+00:00,2.83
2025-10-14T01:32:57.744272+00:00,2.58
2025-10-14T01:32:58.807407+00:00,2.72
2025-10-14T01:32:59.866775+00:00,2.61
2025-10-14T01:33:00.912325+00:00,2.65
2025-10-14T01:33:01.977794+00:00,2.56
2025-10-14T01:33:03.035649+00:00,2.61
2025-10-14T01:33:04.099903+00:00,2.67
2025-10-14T01:33:05.151142+00:00,3.16
2025-10-14T01:33:06.209809+00:00,2.60
2025-10-14T01:33:07.271390+00:00,2.57
2025-10-14T01:33:08.341988+00:00,2.60
2025-10-14T01:33:09.400826+00:00,2.77
2025-10-14T01:33:10.450923+00:00,2.60
2025-10-14T01:33:11.505345+00:00,2.94
2025-10-14T01:33:12.564790+00:00,2.55
2025-10-14T01:33:13.622822+00:00,2.76
